ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
218,48,-12,4,0,200,10,80,20,800,400,20,12,30
206,52,-12,4,0,200,10,80,20,800,400,20,12,30
194,56,-12,4,0,200,10,80,20,800,400,20,12,30
182,60,-12,4,0,200,10,80,20,800,400,20,12,30
170,64,-12,4,0,200,10,80,20,800,400,20,12,30
158,68,-12,4,0,200,10,80,20,800,400,20,12,30
146,72,-12,4,0,200,10,80,20,800,400,20,12,30
134,76,-12,4,0,200,10,80,20,800,400,20,12,30
122,80,-12,4,0,200,10,80,20,800,400,20,12,30
110,84,-12,4,0,200,10,80,20,800,400,20,12,30
98,88,-12,4,0,200,10,80,20,800,400,20,12,30
86,92,-12,4,0,200,10,80,20,800,400,20,12,30
74,96,-12,4,0,200,10,80,20,800,400,20,12,30
62,100,-12,4,0,200,10,80,20,800,400,20,12,30
50,104,-12,4,0,200,10,80,20,800,400,20,12,30
38,108,-12,4,0,200,10,80,20,800,400,20,12,30
50,112,12,4,0,200,10,80,20,800,400,20,12,30
62,116,12,4,0,200,10,80,20,800,400,20,12,30
74,120,12,4,0,200,10,80,20,800,400,20,12,30
86,124,12,4,0,200,10,80,20,800,400,20,12,30
98,128,12,4,0,200,10,80,20,800,400,20,12,30
110,132,12,4,0,200,10,80,20,800,400,20,12,30
122,136,12,4,0,200,10,80,20,800,400,20,12,30
134,140,12,4,0,200,10,80,20,800,400,20,12,30
146,144,12,4,0,200,10,80,20,800,400,20,12,30
158,148,12,4,0,200,10,80,20,800,400,20,12,30
170,152,12,4,0,200,10,80,20,800,400,20,12,30
182,156,12,4,1,200,10,80,20,800,400,20,12,30
194,160,12,4,0,220,10,80,20,800,400,20,12,30
206,164,12,4,0,220,10,80,20,800,400,20,12,30
218,168,12,4,0,220,10,80,20,800,400,20,12,30
230,172,12,4,0,220,10,80,20,800,400,20,12,30
242,176,12,4,0,220,10,80,20,800,400,20,12,30
254,180,12,4,0,220,10,80,20,800,400,20,12,30
266,184,12,4,0,220,10,80,20,800,400,20,12,30
278,188,12,4,1,220,10,80,20,800,400,20,12,30
290,192,12,4,0,240,10,80,20,800,400,20,12,30
302,196,12,4,0,240,10,80,20,800,400,20,12,30
314,200,12,4,0,240,10,80,20,800,400,20,12,30
326,204,12,4,0,240,10,80,20,800,400,20,12,30
338,208,12,4,0,240,10,80,20,800,400,20,12,30
350,212,12,4,0,240,10,80,20,800,400,20,12,30
362,216,12,4,0,240,10,80,20,800,400,20,12,30
374,220,12,4,1,240,10,80,20,800,400,20,12,30
386,224,12,4,0,260,10,80,20,800,400,20,12,30
398,228,12,4,0,260,10,80,20,800,400,20,12,30
410,232,12,4,0,260,10,80,20,800,400,20,12,30
422,236,12,4,0,260,10,80,20,800,400,20,12,30
434,240,12,4,0,260,10,80,20,800,400,20,12,30
446,244,12,4,1,260,10,80,20,800,400,20,12,30
458,248,12,4,0,280,10,80,20,800,400,20,12,30
470,252,12,4,0,280,10,80,20,800,400,20,12,30
482,256,12,4,0,280,10,80,20,800,400,20,12,30
494,260,12,4,0,280,10,80,20,800,400,20,12,30
506,264,12,4,1,280,10,80,20,800,400,20,12,30
518,268,12,4,0,300,10,80,20,800,400,20,12,30
530,272,12,4,0,300,10,80,20,800,400,20,12,30
542,276,12,4,0,300,10,80,20,800,400,20,12,30
554,280,12,4,0,300,10,80,20,800,400,20,12,30
566,284,12,4,0,300,10,80,20,800,400,20,12,30
578,288,12,4,0,300,10,80,20,800,400,20,12,30
590,292,12,4,0,300,10,80,20,800,400,20,12,30
602,296,12,4,0,300,10,80,20,800,400,20,12,30
614,300,12,4,0,300,10,80,20,800,400,20,12,30
626,304,12,4,0,300,10,80,20,800,400,20,12,30
638,308,12,4,0,300,10,80,20,800,400,20,12,30
650,312,12,4,0,300,10,80,20,800,400,20,12,30
662,316,12,4,0,300,10,80,20,800,400,20,12,30
674,320,12,4,0,300,10,80,20,800,400,20,12,30
686,324,12,4,1,300,10,80,20,800,400,20,12,30
698,328,12,4,0,320,10,80,20,800,400,20,12,30
710,332,12,4,0,320,10,80,20,800,400,20,12,30
722,336,12,4,0,320,10,80,20,800,400,20,12,30
734,340,12,4,0,320,10,80,20,800,400,20,12,30
746,344,12,4,1,320,10,80,20,800,400,20,12,30
758,348,12,4,0,340,10,80,20,800,400,20,12,30
770,352,12,4,0,340,10,80,20,800,400,20,12,30
758,356,-12,4,0,340,10,80,20,800,400,20,12,30
746,360,-12,4,0,340,10,80,20,800,400,20,12,30
734,364,-12,4,1,340,10,80,20,800,400,20,12,30
722,368,-12,4,0,340,10,80,20,800,400,20,12,30
710,364,-12,-4,0,340,10,80,20,800,400,20,12,30
698,360,-12,-4,0,340,10,80,20,800,400,20,12,30
686,356,-12,-4,0,340,10,80,20,800,400,20,12,30
674,352,-12,-4,0,340,10,80,20,800,400,20,12,30
662,348,-12,-4,0,340,10,80,20,800,400,20,12,30
650,344,-12,-4,0,340,10,80,20,800,400,20,12,30
638,340,-12,-4,0,340,10,80,20,800,400,20,12,30
626,336,-12,-4,0,340,10,80,20,800,400,20,12,30
614,332,-12,-4,0,340,10,80,20,800,400,20,12,30
602,328,-12,-4,0,340,10,80,20,800,400,20,12,30
590,324,-12,-4,0,340,10,80,20,800,400,20,12,30
578,320,-12,-4,0,340,10,80,20,800,400,20,12,30
566,316,-12,-4,0,340,10,80,20,800,400,20,12,30
554,312,-12,-4,0,340,10,80,20,800,400,20,12,30
542,308,-12,-4,0,340,10,80,20,800,400,20,12,30
530,304,-12,-4,0,340,10,80,20,800,400,20,12,30
518,300,-12,-4,0,340,10,80,20,800,400,20,12,30
506,296,-12,-4,0,340,10,80,20,800,400,20,12,30
494,292,-12,-4,0,340,10,80,20,800,400,20,12,30
482,288,-12,-4,0,340,10,80,20,800,400,20,12,30
470,284,-12,-4,0,340,10,80,20,800,400,20,12,30
458,280,-12,-4,-1,340,10,80,20,800,400,20,12,30
446,276,-12,-4,0,320,10,80,20,800,400,20,12,30
434,272,-12,-4,0,320,10,80,20,800,400,20,12,30
422,268,-12,-4,0,320,10,80,20,800,400,20,12,30
410,264,-12,-4,0,320,10,80,20,800,400,20,12,30
398,260,-12,-4,-1,320,10,80,20,800,400,20,12,30
386,256,-12,-4,0,300,10,80,20,800,400,20,12,30
374,252,-12,-4,0,300,10,80,20,800,400,20,12,30
362,248,-12,-4,0,300,10,80,20,800,400,20,12,30
350,244,-12,-4,0,300,10,80,20,800,400,20,12,30
338,240,-12,-4,-1,300,10,80,20,800,400,20,12,30
326,236,-12,-4,0,280,10,80,20,800,400,20,12,30
314,232,-12,-4,0,280,10,80,20,800,400,20,12,30
302,228,-12,-4,0,280,10,80,20,800,400,20,12,30
290,224,-12,-4,-1,280,10,80,20,800,400,20,12,30
278,220,-12,-4,0,260,10,80,20,800,400,20,12,30
266,216,-12,-4,0,260,10,80,20,800,400,20,12,30
254,212,-12,-4,0,260,10,80,20,800,400,20,12,30
242,208,-12,-4,-1,260,10,80,20,800,400,20,12,30
230,204,-12,-4,0,240,10,80,20,800,400,20,12,30
218,200,-12,-4,0,240,10,80,20,800,400,20,12,30
206,196,-12,-4,0,240,10,80,20,800,400,20,12,30
194,192,-12,-4,-1,240,10,80,20,800,400,20,12,30
182,188,-12,-4,0,220,10,80,20,800,400,20,12,30
170,184,-12,-4,0,220,10,80,20,800,400,20,12,30
158,180,-12,-4,0,220,10,80,20,800,400,20,12,30
146,176,-12,-4,-1,220,10,80,20,800,400,20,12,30
134,172,-12,-4,0,200,10,80,20,800,400,20,12,30
122,168,-12,-4,0,200,10,80,20,800,400,20,12,30
110,164,-12,-4,0,200,10,80,20,800,400,20,12,30
98,160,-12,-4,-1,200,10,80,20,800,400,20,12,30
86,156,-12,-4,0,180,10,80,20,800,400,20,12,30
74,152,-12,-4,0,180,10,80,20,800,400,20,12,30
62,148,-12,-4,0,180,10,80,20,800,400,20,12,30
50,144,-12,-4,-1,180,10,80,20,800,400,20,12,30
38,140,-12,-4,0,160,10,80,20,800,400,20,12,30
50,136,12,-4,0,160,10,80,20,800,400,20,12,30
62,132,12,-4,0,160,10,80,20,800,400,20,12,30
74,128,12,-4,-1,160,10,80,20,800,400,20,12,30
86,124,12,-4,0,140,10,80,20,800,400,20,12,30
98,120,12,-4,0,140,10,80,20,800,400,20,12,30
110,116,12,-4,0,140,10,80,20,800,400,20,12,30
122,112,12,-4,-1,140,10,80,20,800,400,20,12,30
134,108,12,-4,0,120,10,80,20,800,400,20,12,30
146,104,12,-4,0,120,10,80,20,800,400,20,12,30
158,100,12,-4,0,120,10,80,20,800,400,20,12,30
170,96,12,-4,0,120,10,80,20,800,400,20,12,30
182,92,12,-4,-1,120,10,80,20,800,400,20,12,30
194,88,12,-4,0,100,10,80,20,800,400,20,12,30
206,84,12,-4,0,100,10,80,20,800,400,20,12,30
218,80,12,-4,0,100,10,80,20,800,400,20,12,30
230,76,12,-4,-1,100,10,80,20,800,400,20,12,30
242,72,12,-4,0,80,10,80,20,800,400,20,12,30
254,68,12,-4,0,80,10,80,20,800,400,20,12,30
266,64,12,-4,0,80,10,80,20,800,400,20,12,30
278,60,12,-4,0,80,10,80,20,800,400,20,12,30
290,56,12,-4,0,80,10,80,20,800,400,20,12,30
302,52,12,-4,0,80,10,80,20,800,400,20,12,30
314,48,12,-4,0,80,10,80,20,800,400,20,12,30
326,44,12,-4,0,80,10,80,20,800,400,20,12,30
338,40,12,-4,0,80,10,80,20,800,400,20,12,30
350,36,12,-4,0,80,10,80,20,800,400,20,12,30
362,32,12,-4,0,80,10,80,20,800,400,20,12,30
374,36,12,4,0,80,10,80,20,800,400,20,12,30
386,40,12,4,0,80,10,80,20,800,400,20,12,30
398,44,12,4,0,80,10,80,20,800,400,20,12,30
410,48,12,4,0,80,10,80,20,800,400,20,12,30
422,52,12,4,0,80,10,80,20,800,400,20,12,30
434,56,12,4,0,80,10,80,20,800,400,20,12,30
446,60,12,4,0,80,10,80,20,800,400,20,12,30
458,64,12,4,0,80,10,80,20,800,400,20,12,30
470,68,12,4,0,80,10,80,20,800,400,20,12,30
482,72,12,4,0,80,10,80,20,800,400,20,12,30
494,76,12,4,0,80,10,80,20,800,400,20,12,30
506,80,12,4,1,80,10,80,20,800,400,20,12,30
518,84,12,4,0,100,10,80,20,800,400,20,12,30
530,88,12,4,0,100,10,80,20,800,400,20,12,30
542,92,12,4,0,100,10,80,20,800,400,20,12,30
554,96,12,4,0,100,10,80,20,800,400,20,12,30
566,100,12,4,1,100,10,80,20,800,400,20,12,30
578,104,12,4,0,120,10,80,20,800,400,20,12,30
590,108,12,4,0,120,10,80,20,800,400,20,12,30
602,112,12,4,0,120,10,80,20,800,400,20,12,30
614,116,12,4,0,120,10,80,20,800,400,20,12,30
626,120,12,4,0,120,10,80,20,800,400,20,12,30
638,124,12,4,0,120,10,80,20,800,400,20,12,30
650,128,12,4,0,120,10,80,20,800,400,20,12,30
662,132,12,4,0,120,10,80,20,800,400,20,12,30
674,136,12,4,1,120,10,80,20,800,400,20,12,30
686,140,12,4,0,140,10,80,20,800,400,20,12,30
698,144,12,4,0,140,10,80,20,800,400,20,12,30
710,148,12,4,0,140,10,80,20,800,400,20,12,30
722,152,12,4,0,140,10,80,20,800,400,20,12,30
734,156,12,4,1,140,10,80,20,800,400,20,12,30
746,160,12,4,0,160,10,80,20,800,400,20,12,30
758,164,12,4,0,160,10,80,20,800,400,20,12,30
770,168,12,4,0,160,10,80,20,800,400,20,12,30
758,172,-12,4,1,160,10,80,20,800,400,20,12,30
746,176,-12,4,0,180,10,80,20,800,400,20,12,30
734,180,-12,4,0,180,10,80,20,800,400,20,12,30
722,184,-12,4,0,180,10,80,20,800,400,20,12,30
710,188,-12,4,0,180,10,80,20,800,400,20,12,30
698,192,-12,4,0,180,10,80,20,800,400,20,12,30
686,196,-12,4,0,180,10,80,20,800,400,20,12,30
674,200,-12,4,0,180,10,80,20,800,400,20,12,30
662,204,-12,4,0,180,10,80,20,800,400,20,12,30
650,208,-12,4,0,180,10,80,20,800,400,20,12,30
638,212,-12,4,0,180,10,80,20,800,400,20,12,30
626,216,-12,4,0,180,10,80,20,800,400,20,12,30
614,220,-12,4,0,180,10,80,20,800,400,20,12,30
602,224,-12,4,0,180,10,80,20,800,400,20,12,30
590,228,-12,4,0,180,10,80,20,800,400,20,12,30
578,232,-12,4,0,180,10,80,20,800,400,20,12,30
566,236,-12,4,0,180,10,80,20,800,400,20,12,30
554,240,-12,4,0,180,10,80,20,800,400,20,12,30
542,244,-12,4,0,180,10,80,20,800,400,20,12,30
530,248,-12,4,0,180,10,80,20,800,400,20,12,30
518,252,-12,4,0,180,10,80,20,800,400,20,12,30
506,256,-12,4,0,180,10,80,20,800,400,20,12,30
494,260,-12,4,0,180,10,80,20,800,400,20,12,30
482,264,-12,4,0,180,10,80,20,800,400,20,12,30
470,268,-12,4,0,180,10,80,20,800,400,20,12,30
458,272,-12,4,0,180,10,80,20,800,400,20,12,30
446,276,-12,4,0,180,10,80,20,800,400,20,12,30
434,280,-12,4,0,180,10,80,20,800,400,20,12,30
422,284,-12,4,0,180,10,80,20,800,400,20,12,30
410,288,-12,4,0,180,10,80,20,800,400,20,12,30
398,292,-12,4,0,180,10,80,20,800,400,20,12,30
386,296,-12,4,0,180,10,80,20,800,400,20,12,30
374,300,-12,4,0,180,10,80,20,800,400,20,12,30
362,304,-12,4,0,180,10,80,20,800,400,20,12,30
350,308,-12,4,0,180,10,80,20,800,400,20,12,30
338,312,-12,4,0,180,10,80,20,800,400,20,12,30
326,316,-12,4,0,180,10,80,20,800,400,20,12,30
314,320,-12,4,0,180,10,80,20,800,400,20,12,30
302,324,-12,4,0,180,10,80,20,800,400,20,12,30
290,328,-12,4,0,180,10,80,20,800,400,20,12,30
278,332,-12,4,0,180,10,80,20,800,400,20,12,30
266,336,-12,4,0,180,10,80,20,800,400,20,12,30
254,340,-12,4,0,180,10,80,20,800,400,20,12,30
242,344,-12,4,0,180,10,80,20,800,400,20,12,30
230,348,-12,4,0,180,10,80,20,800,400,20,12,30
218,352,-12,4,0,180,10,80,20,800,400,20,12,30
206,356,-12,4,0,180,10,80,20,800,400,20,12,30
194,360,-12,4,0,180,10,80,20,800,400,20,12,30
182,364,-12,4,0,180,10,80,20,800,400,20,12,30
170,368,-12,4,0,180,10,80,20,800,400,20,12,30
158,364,-12,-4,0,180,10,80,20,800,400,20,12,30
146,360,-12,-4,0,180,10,80,20,800,400,20,12,30
134,356,-12,-4,0,180,10,80,20,800,400,20,12,30
122,352,-12,-4,0,180,10,80,20,800,400,20,12,30
110,348,-12,-4,0,180,10,80,20,800,400,20,12,30
98,344,-12,-4,0,180,10,80,20,800,400,20,12,30
86,340,-12,-4,0,180,10,80,20,800,400,20,12,30
74,336,-12,-4,0,180,10,80,20,800,400,20,12,30
62,332,-12,-4,0,180,10,80,20,800,400,20,12,30
50,328,-12,-4,0,180,10,80,20,800,400,20,12,30
38,324,-12,-4,0,180,10,80,20,800,400,20,12,30
50,320,12,-4,0,180,10,80,20,800,400,20,12,30
62,316,12,-4,0,180,10,80,20,800,400,20,12,30
74,312,12,-4,0,180,10,80,20,800,400,20,12,30
86,308,12,-4,0,180,10,80,20,800,400,20,12,30
98,304,12,-4,0,180,10,80,20,800,400,20,12,30
110,300,12,-4,0,180,10,80,20,800,400,20,12,30
122,296,12,-4,0,180,10,80,20,800,400,20,12,30
134,292,12,-4,0,180,10,80,20,800,400,20,12,30
146,288,12,-4,0,180,10,80,20,800,400,20,12,30
158,284,12,-4,0,180,10,80,20,800,400,20,12,30
170,280,12,-4,0,180,10,80,20,800,400,20,12,30
182,276,12,-4,0,180,10,80,20,800,400,20,12,30
194,272,12,-4,0,180,10,80,20,800,400,20,12,30
206,268,12,-4,0,180,10,80,20,800,400,20,12,30
218,264,12,-4,0,180,10,80,20,800,400,20,12,30
230,260,12,-4,0,180,10,80,20,800,400,20,12,30
242,256,12,-4,0,180,10,80,20,800,400,20,12,30
254,252,12,-4,0,180,10,80,20,800,400,20,12,30
266,248,12,-4,0,180,10,80,20,800,400,20,12,30
278,244,12,-4,0,180,10,80,20,800,400,20,12,30
290,240,12,-4,0,180,10,80,20,800,400,20,12,30
302,236,12,-4,0,180,10,80,20,800,400,20,12,30
314,232,12,-4,0,180,10,80,20,800,400,20,12,30
326,228,12,-4,-1,180,10,80,20,800,400,20,12,30
338,224,12,-4,0,160,10,80,20,800,400,20,12,30
350,220,12,-4,0,160,10,80,20,800,400,20,12,30
362,216,12,-4,0,160,10,80,20,800,400,20,12,30
374,212,12,-4,0,160,10,80,20,800,400,20,12,30
386,208,12,-4,-1,160,10,80,20,800,400,20,12,30
398,204,12,-4,0,140,10,80,20,800,400,20,12,30
410,200,12,-4,0,140,10,80,20,800,400,20,12,30
422,196,12,-4,0,140,10,80,20,800,400,20,12,30
434,192,12,-4,0,140,10,80,20,800,400,20,12,30
446,188,12,-4,0,140,10,80,20,800,400,20,12,30
458,184,12,-4,0,140,10,80,20,800,400,20,12,30
470,180,12,-4,0,140,10,80,20,800,400,20,12,30
482,176,12,-4,0,140,10,80,20,800,400,20,12,30
494,172,12,-4,0,140,10,80,20,800,400,20,12,30
506,168,12,-4,-1,140,10,80,20,800,400,20,12,30
518,164,12,-4,0,120,10,80,20,800,400,20,12,30
530,160,12,-4,0,120,10,80,20,800,400,20,12,30
542,156,12,-4,0,120,10,80,20,800,400,20,12,30
554,152,12,-4,0,120,10,80,20,800,400,20,12,30
566,148,12,-4,-1,120,10,80,20,800,400,20,12,30
578,144,12,-4,0,100,10,80,20,800,400,20,12,30
590,140,12,-4,0,100,10,80,20,800,400,20,12,30
602,136,12,-4,0,100,10,80,20,800,400,20,12,30
614,132,12,-4,0,100,10,80,20,800,400,20,12,30
626,128,12,-4,0,100,10,80,20,800,400,20,12,30
638,124,12,-4,0,100,10,80,20,800,400,20,12,30
650,120,12,-4,0,100,10,80,20,800,400,20,12,30
662,116,12,-4,0,100,10,80,20,800,400,20,12,30
674,112,12,-4,0,100,10,80,20,800,400,20,12,30
686,108,12,-4,0,100,10,80,20,800,400,20,12,30
698,104,12,-4,0,100,10,80,20,800,400,20,12,30
710,100,12,-4,0,100,10,80,20,800,400,20,12,30
722,96,12,-4,0,100,10,80,20,800,400,20,12,30
734,92,12,-4,0,100,10,80,20,800,400,20,12,30
746,88,12,-4,0,100,10,80,20,800,400,20,12,30
758,84,12,-4,0,100,10,80,20,800,400,20,12,30
770,80,12,-4,0,100,10,80,20,800,400,20,12,30
758,76,-12,-4,0,100,10,80,20,800,400,20,12,30
746,72,-12,-4,0,100,10,80,20,800,400,20,12,30
734,68,-12,-4,0,100,10,80,20,800,400,20,12,30
722,64,-12,-4,0,100,10,80,20,800,400,20,12,30
710,60,-12,-4,0,100,10,80,20,800,400,20,12,30
698,56,-12,-4,0,100,10,80,20,800,400,20,12,30
686,52,-12,-4,0,100,10,80,20,800,400,20,12,30
674,48,-12,-4,0,100,10,80,20,800,400,20,12,30
662,44,-12,-4,0,100,10,80,20,800,400,20,12,30
650,40,-12,-4,0,100,10,80,20,800,400,20,12,30
638,36,-12,-4,0,100,10,80,20,800,400,20,12,30
626,32,-12,-4,0,100,10,80,20,800,400,20,12,30
614,36,-12,4,0,100,10,80,20,800,400,20,12,30
602,40,-12,4,0,100,10,80,20,800,400,20,12,30
590,44,-12,4,0,100,10,80,20,800,400,20,12,30
578,48,-12,4,0,100,10,80,20,800,400,20,12,30
566,52,-12,4,0,100,10,80,20,800,400,20,12,30
554,56,-12,4,0,100,10,80,20,800,400,20,12,30
542,60,-12,4,0,100,10,80,20,800,400,20,12,30
530,64,-12,4,0,100,10,80,20,800,400,20,12,30
518,68,-12,4,0,100,10,80,20,800,400,20,12,30
506,72,-12,4,0,100,10,80,20,800,400,20,12,30
494,76,-12,4,0,100,10,80,20,800,400,20,12,30
482,80,-12,4,0,100,10,80,20,800,400,20,12,30
470,84,-12,4,0,100,10,80,20,800,400,20,12,30
458,88,-12,4,0,100,10,80,20,800,400,20,12,30
446,92,-12,4,0,100,10,80,20,800,400,20,12,30
434,96,-12,4,0,100,10,80,20,800,400,20,12,30
422,100,-12,4,0,100,10,80,20,800,400,20,12,30
410,104,-12,4,0,100,10,80,20,800,400,20,12,30
398,108,-12,4,0,100,10,80,20,800,400,20,12,30
386,112,-12,4,0,100,10,80,20,800,400,20,12,30
374,116,-12,4,0,100,10,80,20,800,400,20,12,30
362,120,-12,4,0,100,10,80,20,800,400,20,12,30
350,124,-12,4,0,100,10,80,20,800,400,20,12,30
338,128,-12,4,0,100,10,80,20,800,400,20,12,30
326,132,-12,4,0,100,10,80,20,800,400,20,12,30
314,136,-12,4,0,100,10,80,20,800,400,20,12,30
302,140,-12,4,0,100,10,80,20,800,400,20,12,30
290,144,-12,4,0,100,10,80,20,800,400,20,12,30
278,148,-12,4,0,100,10,80,20,800,400,20,12,30
266,152,-12,4,0,100,10,80,20,800,400,20,12,30
254,156,-12,4,0,100,10,80,20,800,400,20,12,30
242,160,-12,4,0,100,10,80,20,800,400,20,12,30
230,164,-12,4,0,100,10,80,20,800,400,20,12,30
218,168,-12,4,0,100,10,80,20,800,400,20,12,30
206,172,-12,4,0,100,10,80,20,800,400,20,12,30
194,176,-12,4,0,100,10,80,20,800,400,20,12,30
182,180,-12,4,0,100,10,80,20,800,400,20,12,30
170,184,-12,4,0,100,10,80,20,800,400,20,12,30
158,188,-12,4,0,100,10,80,20,800,400,20,12,30
146,192,-12,4,1,100,10,80,20,800,400,20,12,30
134,196,-12,4,0,120,10,80,20,800,400,20,12,30
122,200,-12,4,0,120,10,80,20,800,400,20,12,30
110,204,-12,4,0,120,10,80,20,800,400,20,12,30
98,208,-12,4,0,120,10,80,20,800,400,20,12,30
86,212,-12,4,1,120,10,80,20,800,400,20,12,30
74,216,-12,4,0,140,10,80,20,800,400,20,12,30
62,220,-12,4,0,140,10,80,20,800,400,20,12,30
50,224,-12,4,0,140,10,80,20,800,400,20,12,30
38,228,-12,4,1,140,10,80,20,800,400,20,12,30
50,232,12,4,0,160,10,80,20,800,400,20,12,30
62,236,12,4,0,160,10,80,20,800,400,20,12,30
74,240,12,4,0,160,10,80,20,800,400,20,12,30
86,244,12,4,0,160,10,80,20,800,400,20,12,30
98,248,12,4,1,160,10,80,20,800,400,20,12,30
110,252,12,4,0,180,10,80,20,800,400,20,12,30
122,256,12,4,0,180,10,80,20,800,400,20,12,30
134,260,12,4,0,180,10,80,20,800,400,20,12,30
146,264,12,4,1,180,10,80,20,800,400,20,12,30
158,268,12,4,0,200,10,80,20,800,400,20,12,30
170,272,12,4,0,200,10,80,20,800,400,20,12,30
182,276,12,4,0,200,10,80,20,800,400,20,12,30
194,280,12,4,0,200,10,80,20,800,400,20,12,30
206,284,12,4,1,200,10,80,20,800,400,20,12,30
218,288,12,4,0,220,10,80,20,800,400,20,12,30
230,292,12,4,0,220,10,80,20,800,400,20,12,30
242,296,12,4,0,220,10,80,20,800,400,20,12,30
254,300,12,4,0,220,10,80,20,800,400,20,12,30
266,304,12,4,1,220,10,80,20,800,400,20,12,30
278,308,12,4,0,240,10,80,20,800,400,20,12,30
290,312,12,4,0,240,10,80,20,800,400,20,12,30
302,316,12,4,0,240,10,80,20,800,400,20,12,30
314,320,12,4,1,240,10,80,20,800,400,20,12,30
326,324,12,4,0,260,10,80,20,800,400,20,12,30
338,328,12,4,0,260,10,80,20,800,400,20,12,30
350,332,12,4,0,260,10,80,20,800,400,20,12,30
362,336,12,4,0,260,10,80,20,800,400,20,12,30
374,340,12,4,0,260,10,80,20,800,400,20,12,30
386,344,12,4,1,260,10,80,20,800,400,20,12,30
398,348,12,4,0,280,10,80,20,800,400,20,12,30
410,352,12,4,0,280,10,80,20,800,400,20,12,30
422,356,12,4,0,280,10,80,20,800,400,20,12,30
434,360,12,4,0,280,10,80,20,800,400,20,12,30
446,364,12,4,0,280,10,80,20,800,400,20,12,30
458,368,12,4,0,280,10,80,20,800,400,20,12,30
470,364,12,-4,0,280,10,80,20,800,400,20,12,30
482,360,12,-4,0,280,10,80,20,800,400,20,12,30
494,356,12,-4,0,280,10,80,20,800,400,20,12,30
506,352,12,-4,0,280,10,80,20,800,400,20,12,30
518,348,12,-4,0,280,10,80,20,800,400,20,12,30
530,344,12,-4,0,280,10,80,20,800,400,20,12,30
542,340,12,-4,0,280,10,80,20,800,400,20,12,30
554,336,12,-4,0,280,10,80,20,800,400,20,12,30
566,332,12,-4,0,280,10,80,20,800,400,20,12,30
578,328,12,-4,0,280,10,80,20,800,400,20,12,30
590,324,12,-4,0,280,10,80,20,800,400,20,12,30
602,320,12,-4,0,280,10,80,20,800,400,20,12,30
